Date,+1d,+2d,+3d,+4d,+5d,+6d,+7d,+8-14d,+15d+,TOTAL (9/1)
2020-08-31,0,,,,,,,,,0
2020-08-30,0,9,,,,,,,,9
2020-08-29,0,9,38,,,,,,,47
2020-08-28,2,24,70,52,,,,,,148
2020-08-27,0,23,91,43,86,,,,,243
2020-08-26,0,28,42,106,52,29,,,,257
2020-08-25,6,21,54,65,100,8,16,,,270
2020-08-24,0,15,72,76,46,28,1,2,,240
2020-08-23,1,19,36,50,15,10,1,-1,,131
2020-08-22,0,15,48,41,62,3,3,4,,176
2020-08-21,6,7,125,72,95,23,6,9,,343
2020-08-20,0,57,67,92,53,21,9,15,,314
2020-08-19,0,38,104,80,73,11,19,16,,341
2020-08-18,3,39,39,174,47,10,3,14,,329
2020-08-17,0,33,74,99,71,9,2,4,0,293
2020-08-16,10,11,17,31,30,4,0,3,0,107
2020-08-15,0,35,40,50,29,17,2,4,0,178
2020-08-14,0,35,191,3,83,24,32,0,0,374
2020-08-13,0,39,156,114,8,34,31,13,0,401
2020-08-12,2,24,44,127,74,2,6,16,0,305
2020-08-11,1,26,103,152,69,15,-1,45,2,424
2020-08-10,2,39,16,59,143,15,9,14,0,321
2020-08-09,0,17,45,0,16,33,3,2,0,120
2020-08-08,0,6,60,48,2,47,16,14,0,195
2020-08-07,0,3,52,173,68,2,37,52,-1,406
2020-08-06,0,5,1,28,265,53,7,49,1,416
2020-08-05,1,28,8,16,130,236,41,27,-1,511
2020-08-04,0,24,9,32,37,316,151,18,-1,598
2020-08-03,6,19,34,11,124,42,136,77,2,479
2020-08-02,1,25,4,125,2,39,0,47,1,247
2020-08-01,0,25,36,23,134,0,21,85,3,331
